Comunidades y ciudades autónomas;País de residencia;Meses;Total
Balears, Illes;Polonia;Total;80.353
Balears, Illes;Polonia;Enero;271
Balears, Illes;Polonia;Febrero;228
Balears, Illes;Polonia;Marzo;562
Balears, Illes;Polonia;Abril;2.611
Balears, Illes;Polonia;Mayo;8.012
Balears, Illes;Polonia;Junio;14.763
Balears, Illes;Polonia;Julio;14.824
Balears, Illes;Polonia;Agosto;14.548
Balears, Illes;Polonia;Septiembre;14.066
Balears, Illes;Polonia;Octubre;9.746
Balears, Illes;Polonia;Noviembre;482
Balears, Illes;Polonia;Diciembre;242
Balears, Illes;Portugal;Total;18.737
Balears, Illes;Portugal;Enero;..
Balears, Illes;Portugal;Febrero;..
Balears, Illes;Portugal;Marzo;..
Balears, Illes;Portugal;Abril;466
Balears, Illes;Portugal;Mayo;1.316
Balears, Illes;Portugal;Junio;2.686
Balears, Illes;Portugal;Julio;2.666
Balears, Illes;Portugal;Agosto;3.077
Balears, Illes;Portugal;Septiembre;4.998
Balears, Illes;Portugal;Octubre;3.081
Balears, Illes;Portugal;Noviembre;98
Balears, Illes;Portugal;Diciembre;110
Balears, Illes;Reino Unido;Total;3.793.840
Balears, Illes;Reino Unido;Enero;3.089
Balears, Illes;Reino Unido;Febrero;4.714
Balears, Illes;Reino Unido;Marzo;9.555
Balears, Illes;Reino Unido;Abril;111.562
Balears, Illes;Reino Unido;Mayo;484.996
Balears, Illes;Reino Unido;Junio;679.450
Balears, Illes;Reino Unido;Julio;704.765
Balears, Illes;Reino Unido;Agosto;802.660
Balears, Illes;Reino Unido;Septiembre;639.092
Balears, Illes;Reino Unido;Octubre;346.691
Balears, Illes;Reino Unido;Noviembre;4.709
Balears, Illes;Reino Unido;Diciembre;2.557
Balears, Illes;Republica Checa;Total;25.060
Balears, Illes;Republica Checa;Enero;94
Balears, Illes;Republica Checa;Febrero;255
Balears, Illes;Republica Checa;Marzo;331
Balears, Illes;Republica Checa;Abril;392
Balears, Illes;Republica Checa;Mayo;5.891
Balears, Illes;Republica Checa;Junio;3.093
Balears, Illes;Republica Checa;Julio;5.236
Balears, Illes;Republica Checa;Agosto;3.638
Balears, Illes;Republica Checa;Septiembre;4.876
Balears, Illes;Republica Checa;Octubre;1.159
Balears, Illes;Republica Checa;Noviembre;..
Balears, Illes;Republica Checa;Diciembre;..
Balears, Illes;Suecia;Total;432.563
Balears, Illes;Suecia;Enero;1.844
Balears, Illes;Suecia;Febrero;2.609
Balears, Illes;Suecia;Marzo;3.285
Balears, Illes;Suecia;Abril;6.681
Balears, Illes;Suecia;Mayo;54.620
Balears, Illes;Suecia;Junio;85.109
Balears, Illes;Suecia;Julio;84.573
Balears, Illes;Suecia;Agosto;81.384
Balears, Illes;Suecia;Septiembre;86.435
Balears, Illes;Suecia;Octubre;22.125
Balears, Illes;Suecia;Noviembre;2.510
Balears, Illes;Suecia;Diciembre;1.389
Balears, Illes;Resto de la UE;Total;74.213
Balears, Illes;Resto de la UE;Enero;173
Balears, Illes;Resto de la UE;Febrero;141
Balears, Illes;Resto de la UE;Marzo;341
Balears, Illes;Resto de la UE;Abril;3.128
Balears, Illes;Resto de la UE;Mayo;6.712
Balears, Illes;Resto de la UE;Junio;12.788
Balears, Illes;Resto de la UE;Julio;15.825
Balears, Illes;Resto de la UE;Agosto;9.682
Balears, Illes;Resto de la UE;Septiembre;16.446
Balears, Illes;Resto de la UE;Octubre;7.511
Balears, Illes;Resto de la UE;Noviembre;832
Balears, Illes;Resto de la UE;Diciembre;634
Balears, Illes;Noruega;Total;267.606
Balears, Illes;Noruega;Enero;590
Balears, Illes;Noruega;Febrero;940
Balears, Illes;Noruega;Marzo;1.328
Balears, Illes;Noruega;Abril;4.140
Balears, Illes;Noruega;Mayo;24.591
Balears, Illes;Noruega;Junio;50.125
Balears, Illes;Noruega;Julio;81.211
Balears, Illes;Noruega;Agosto;45.191
Balears, Illes;Noruega;Septiembre;36.316
Balears, Illes;Noruega;Octubre;19.875
Balears, Illes;Noruega;Noviembre;1.954
Balears, Illes;Noruega;Diciembre;1.344
Balears, Illes;Rusia;Total;49.466
Balears, Illes;Rusia;Enero;394
Balears, Illes;Rusia;Febrero;996
Balears, Illes;Rusia;Marzo;143
Balears, Illes;Rusia;Abril;540
Balears, Illes;Rusia;Mayo;4.765
Balears, Illes;Rusia;Junio;11.066
Balears, Illes;Rusia;Julio;5.791
Balears, Illes;Rusia;Agosto;9.513
Balears, Illes;Rusia;Septiembre;12.966
Balears, Illes;Rusia;Octubre;2.943
Balears, Illes;Rusia;Noviembre;268
Balears, Illes;Rusia;Diciembre;81
Balears, Illes;Suiza;Total;91.432
Balears, Illes;Suiza;Enero;588
Balears, Illes;Suiza;Febrero;531
Balears, Illes;Suiza;Marzo;1.080
Balears, Illes;Suiza;Abril;4.077
Balears, Illes;Suiza;Mayo;7.255
Balears, Illes;Suiza;Junio;14.288
Balears, Illes;Suiza;Julio;22.463
Balears, Illes;Suiza;Agosto;14.197
Balears, Illes;Suiza;Septiembre;12.396
Balears, Illes;Suiza;Octubre;13.014
Balears, Illes;Suiza;Noviembre;752
Balears, Illes;Suiza;Diciembre;793
Balears, Illes;Resto de Europa;Total;39.040
Balears, Illes;Resto de Europa;Enero;273
Balears, Illes;Resto de Europa;Febrero;215
Balears, Illes;Resto de Europa;Marzo;1.014
Balears, Illes;Resto de Europa;Abril;1.317
Balears, Illes;Resto de Europa;Mayo;7.369
Balears, Illes;Resto de Europa;Junio;7.589
Balears, Illes;Resto de Europa;Julio;5.054
Balears, Illes;Resto de Europa;Agosto;6.505
Balears, Illes;Resto de Europa;Septiembre;5.629
Balears, Illes;Resto de Europa;Octubre;3.553
Balears, Illes;Resto de Europa;Noviembre;412
Balears, Illes;Resto de Europa;Diciembre;111
Balears, Illes;Estados Unidos;Total;34.515
Balears, Illes;Estados Unidos;Enero;626
Balears, Illes;Estados Unidos;Febrero;250
Balears, Illes;Estados Unidos;Marzo;706
Balears, Illes;Estados Unidos;Abril;1.436
Balears, Illes;Estados Unidos;Mayo;4.945
Balears, Illes;Estados Unidos;Junio;5.052
Balears, Illes;Estados Unidos;Julio;5.788
Balears, Illes;Estados Unidos;Agosto;6.450
Balears, Illes;Estados Unidos;Septiembre;5.922
Balears, Illes;Estados Unidos;Octubre;2.503
Balears, Illes;Estados Unidos;Noviembre;738
Balears, Illes;Estados Unidos;Diciembre;99
Balears, Illes;Resto de América;Total;46.100
Balears, Illes;Resto de América;Enero;728
Balears, Illes;Resto de América;Febrero;725
Balears, Illes;Resto de América;Marzo;1.290
Balears, Illes;Resto de América;Abril;936
Balears, Illes;Resto de América;Mayo;4.030
Balears, Illes;Resto de América;Junio;7.920
Balears, Illes;Resto de América;Julio;7.598
Balears, Illes;Resto de América;Agosto;11.534
Balears, Illes;Resto de América;Septiembre;7.483
Balears, Illes;Resto de América;Octubre;2.839
Balears, Illes;Resto de América;Noviembre;486
Balears, Illes;Resto de América;Diciembre;529
Balears, Illes;Países Africanos;Total;34.318
Balears, Illes;Países Africanos;Enero;64
Balears, Illes;Países Africanos;Febrero;43
Balears, Illes;Países Africanos;Marzo;129
Balears, Illes;Países Africanos;Abril;352
Balears, Illes;Países Africanos;Mayo;823
Balears, Illes;Países Africanos;Junio;1.416
Balears, Illes;Países Africanos;Julio;2.192
Balears, Illes;Países Africanos;Agosto;26.977
Balears, Illes;Países Africanos;Septiembre;1.191
Balears, Illes;Países Africanos;Octubre;928
Balears, Illes;Países Africanos;Noviembre;122
Balears, Illes;Países Africanos;Diciembre;82
Balears, Illes;Resto del mundo;Total;75.445
Balears, Illes;Resto del mundo;Enero;350
Balears, Illes;Resto del mundo;Febrero;426
Balears, Illes;Resto del mundo;Marzo;625
Balears, Illes;Resto del mundo;Abril;1.760
Balears, Illes;Resto del mundo;Mayo;5.203
Balears, Illes;Resto del mundo;Junio;10.659
Balears, Illes;Resto del mundo;Julio;29.054
Balears, Illes;Resto del mundo;Agosto;14.432
Balears, Illes;Resto del mundo;Septiembre;8.122
Balears, Illes;Resto del mundo;Octubre;4.172
Balears, Illes;Resto del mundo;Noviembre;298
Balears, Illes;Resto del mundo;Diciembre;344
Canarias;Total;Total;32.774.745
Canarias;Total;Enero;2.885.348
Canarias;Total;Febrero;2.693.506
Canarias;Total;Marzo;2.855.445
Canarias;Total;Abril;2.645.361
Canarias;Total;Mayo;2.215.145
Canarias;Total;Junio;2.453.388
Canarias;Total;Julio;3.069.141
Canarias;Total;Agosto;3.257.059
Canarias;Total;Septiembre;2.593.680
Canarias;Total;Octubre;2.725.706
Canarias;Total;Noviembre;2.695.300
Canarias;Total;Diciembre;2.685.667
Canarias;Residentes en España;Total;3.112.884
Canarias;Residentes en España;Enero;131.157
Canarias;Residentes en España;Febrero;125.237
Canarias;Residentes en España;Marzo;137.829
Canarias;Residentes en España;Abril;293.838
Canarias;Residentes en España;Mayo;261.329
Canarias;Residentes en España;Junio;317.655
Canarias;Residentes en España;Julio;466.428
Canarias;Residentes en España;Agosto;573.525
Canarias;Residentes en España;Septiembre;324.918
Canarias;Residentes en España;Octubre;202.717
Canarias;Residentes en España;Noviembre;132.572
Canarias;Residentes en España;Diciembre;145.678
Canarias;No residentes en España;Total;29.661.862
Canarias;No residentes en España;Enero;2.754.191
Canarias;No residentes en España;Febrero;2.568.269
Canarias;No residentes en España;Marzo;2.717.616
Canarias;No residentes en España;Abril;2.351.523
Canarias;No residentes en España;Mayo;1.953.816
Canarias;No residentes en España;Junio;2.135.732
Canarias;No residentes en España;Julio;2.602.713
Canarias;No residentes en España;Agosto;2.683.535
Canarias;No residentes en España;Septiembre;2.268.762
Canarias;No residentes en España;Octubre;2.522.989
Canarias;No residentes en España;Noviembre;2.562.728
Canarias;No residentes en España;Diciembre;2.539.989
Canarias;Unión Europea (sin España);Total;26.765.775
Canarias;Unión Europea (sin España);Enero;2.365.089
Canarias;Unión Europea (sin España);Febrero;2.206.245
Canarias;Unión Europea (sin España);Marzo;2.343.793
Canarias;Unión Europea (sin España);Abril;2.146.752
Canarias;Unión Europea (sin España);Mayo;1.835.615
Canarias;Unión Europea (sin España);Junio;2.024.027
Canarias;Unión Europea (sin España);Julio;2.433.427
Canarias;Unión Europea (sin España);Agosto;2.560.656
Canarias;Unión Europea (sin España);Septiembre;2.152.638
Canarias;Unión Europea (sin España);Octubre;2.272.364
Canarias;Unión Europea (sin España);Noviembre;2.230.324
Canarias;Unión Europea (sin España);Diciembre;2.194.845
Canarias;Alemania;Total;4.789.896
Canarias;Alemania;Enero;438.944
Canarias;Alemania;Febrero;429.010
Canarias;Alemania;Marzo;428.683
Canarias;Alemania;Abril;362.392
Canarias;Alemania;Mayo;323.099
Canarias;Alemania;Junio;318.937
Canarias;Alemania;Julio;395.186
Canarias;Alemania;Agosto;416.030
Canarias;Alemania;Septiembre;383.380
Canarias;Alemania;Octubre;446.722
Canarias;Alemania;Noviembre;444.343
Canarias;Alemania;Diciembre;403.170
Canarias;Austria;Total;133.044
Canarias;Austria;Enero;15.309
Canarias;Austria;Febrero;18.412
Canarias;Austria;Marzo;12.979
Canarias;Austria;Abril;11.473
Canarias;Austria;Mayo;8.880
Canarias;Austria;Junio;5.052
Canarias;Austria;Julio;7.548
Canarias;Austria;Agosto;7.496
Canarias;Austria;Septiembre;7.648
Canarias;Austria;Octubre;11.162
Canarias;Austria;Noviembre;14.095
Canarias;Austria;Diciembre;12.989
Canarias;Bélgica;Total;300.219
Canarias;Bélgica;Enero;27.285
Canarias;Bélgica;Febrero;24.279
Canarias;Bélgica;Marzo;28.894
Canarias;Bélgica;Abril;29.146
Canarias;Bélgica;Mayo;19.621
Canarias;Bélgica;Junio;17.594
Canarias;Bélgica;Julio;39.455
Canarias;Bélgica;Agosto;26.628
Canarias;Bélgica;Septiembre;22.570
Canarias;Bélgica;Octubre;18.819
Canarias;Bélgica;Noviembre;22.675
Canarias;Bélgica;Diciembre;23.252
Canarias;Dinamarca;Total;1.091.019
Canarias;Dinamarca;Enero;150.083
Canarias;Dinamarca;Febrero;135.805
Canarias;Dinamarca;Marzo;150.000
Canarias;Dinamarca;Abril;85.312
Canarias;Dinamarca;Mayo;30.721
Canarias;Dinamarca;Junio;41.445
Canarias;Dinamarca;Julio;69.661
Canarias;Dinamarca;Agosto;42.052
Canarias;Dinamarca;Septiembre;35.411
Canarias;Dinamarca;Octubre;97.008
Canarias;Dinamarca;Noviembre;130.321
Canarias;Dinamarca;Diciembre;123.200
Canarias;Finlandia;Total;973.035
Canarias;Finlandia;Enero;167.845
Canarias;Finlandia;Febrero;163.482
Canarias;Finlandia;Marzo;154.674
Canarias;Finlandia;Abril;75.444
Canarias;Finlandia;Mayo;3.392
Canarias;Finlandia;Junio;2.622
Canarias;Finlandia;Julio;7.825
Canarias;Finlandia;Agosto;8.206
Canarias;Finlandia;Septiembre;8.968
Canarias;Finlandia;Octubre;64.626
Canarias;Finlandia;Noviembre;153.394
Canarias;Finlandia;Diciembre;162.555
Canarias;Francia;Total;654.699
Canarias;Francia;Enero;49.686
Canarias;Francia;Febrero;68.595
Canarias;Francia;Marzo;57.944
Canarias;Francia;Abril;66.189
Canarias;Francia;Mayo;50.768
Canarias;Francia;Junio;38.572
Canarias;Francia;Julio;77.056
Canarias;Francia;Agosto;80.115
Canarias;Francia;Septiembre;40.742
Canarias;Francia;Octubre;54.081
Canarias;Francia;Noviembre;37.177
Canarias;Francia;Diciembre;33.773
Canarias;Grecia;Total;7.223
Canarias;Grecia;Enero;638
Canarias;Grecia;Febrero;404
Canarias;Grecia;Marzo;457
Canarias;Grecia;Abril;517
Canarias;Grecia;Mayo;502
Canarias;Grecia;Junio;549
Canarias;Grecia;Julio;801
Canarias;Grecia;Agosto;1.046
Canarias;Grecia;Septiembre;398
Canarias;Grecia;Octubre;504
Canarias;Grecia;Noviembre;1.086
Canarias;Grecia;Diciembre;320
Canarias;Irlanda;Total;1.501.895
Canarias;Irlanda;Enero;101.330
Canarias;Irlanda;Febrero;76.388
Canarias;Irlanda;Marzo;94.357
Canarias;Irlanda;Abril;122.317
Canarias;Irlanda;Mayo;117.529
Canarias;Irlanda;Junio;158.863
Canarias;Irlanda;Julio;186.600
Canarias;Irlanda;Agosto;181.086
Canarias;Irlanda;Septiembre;135.720
Canarias;Irlanda;Octubre;140.239
Canarias;Irlanda;Noviembre;87.923
Canarias;Irlanda;Diciembre;99.545
Canarias;Italia;Total;643.398
Canarias;Italia;Enero;61.275
Canarias;Italia;Febrero;45.811
Canarias;Italia;Marzo;45.147
Canarias;Italia;Abril;45.917
Canarias;Italia;Mayo;45.353
Canarias;Italia;Junio;49.870
Canarias;Italia;Julio;60.447
Canarias;Italia;Agosto;100.550
Canarias;Italia;Septiembre;56.744
Canarias;Italia;Octubre;46.623
Canarias;Italia;Noviembre;40.431
Canarias;Italia;Diciembre;45.229
Canarias;Luxemburgo;Total;17.212
Canarias;Luxemburgo;Enero;1.123
Canarias;Luxemburgo;Febrero;1.915
Canarias;Luxemburgo;Marzo;1.660
Canarias;Luxemburgo;Abril;1.473
Canarias;Luxemburgo;Mayo;438
Canarias;Luxemburgo;Junio;429
Canarias;Luxemburgo;Julio;503
Canarias;Luxemburgo;Agosto;1.113
Canarias;Luxemburgo;Septiembre;722
Canarias;Luxemburgo;Octubre;1.032
Canarias;Luxemburgo;Noviembre;2.683
Canarias;Luxemburgo;Diciembre;4.121
Canarias;Países Bajos;Total;1.670.417
Canarias;Países Bajos;Enero;141.305
Canarias;Países Bajos;Febrero;137.955
Canarias;Países Bajos;Marzo;144.819
Canarias;Países Bajos;Abril;154.143
Canarias;Países Bajos;Mayo;123.640
Canarias;Países Bajos;Junio;116.737
Canarias;Países Bajos;Julio;162.922
Canarias;Países Bajos;Agosto;196.002
Canarias;Países Bajos;Septiembre;129.457
Canarias;Países Bajos;Octubre;139.336
Canarias;Países Bajos;Noviembre;111.934
Canarias;Países Bajos;Diciembre;112.168
Canarias;Polonia;Total;432.680
Canarias;Polonia;Enero;29.343
Canarias;Polonia;Febrero;31.787
Canarias;Polonia;Marzo;31.852
Canarias;Polonia;Abril;32.018
Canarias;Polonia;Mayo;38.004
Canarias;Polonia;Junio;42.882
Canarias;Polonia;Julio;52.483
Canarias;Polonia;Agosto;47.008
Canarias;Polonia;Septiembre;46.685
Canarias;Polonia;Octubre;33.420
Canarias;Polonia;Noviembre;23.070
Canarias;Polonia;Diciembre;24.129
Canarias;Portugal;Total;49.009
Canarias;Portugal;Enero;1.115
Canarias;Portugal;Febrero;1.610
Canarias;Portugal;Marzo;1.732
Canarias;Portugal;Abril;3.455
Canarias;Portugal;Mayo;3.263
Canarias;Portugal;Junio;4.398
Canarias;Portugal;Julio;8.599
Canarias;Portugal;Agosto;11.221
Canarias;Portugal;Septiembre;7.491
Canarias;Portugal;Octubre;2.412
Canarias;Portugal;Noviembre;1.836
Canarias;Portugal;Diciembre;1.877
Canarias;Reino Unido;Total;12.143.341
Canarias;Reino Unido;Enero;861.393
Canarias;Reino Unido;Febrero;778.897
Canarias;Reino Unido;Marzo;871.827
Canarias;Reino Unido;Abril;971.062
Canarias;Reino Unido;Mayo;1.010.236
Canarias;Reino Unido;Junio;1.157.899
Canarias;Reino Unido;Julio;1.275.776
Canarias;Reino Unido;Agosto;1.375.656
Canarias;Reino Unido;Septiembre;1.200.029
Canarias;Reino Unido;Octubre;1.028.401
Canarias;Reino Unido;Noviembre;820.250
Canarias;Reino Unido;Diciembre;791.915
Canarias;Republica Checa;Total;90.093
Canarias;Republica Checa;Enero;4.240
Canarias;Republica Checa;Febrero;4.637
Canarias;Republica Checa;Marzo;5.574
Canarias;Republica Checa;Abril;7.226
Canarias;Republica Checa;Mayo;6.412
Canarias;Republica Checa;Junio;7.700
Canarias;Republica Checa;Julio;10.512
Canarias;Republica Checa;Agosto;7.653
Canarias;Republica Checa;Septiembre;10.312
Canarias;Republica Checa;Octubre;8.642
Canarias;Republica Checa;Noviembre;7.875
Canarias;Republica Checa;Diciembre;9.311
Canarias;Suecia;Total;1.975.762
Canarias;Suecia;Enero;286.419
Canarias;Suecia;Febrero;264.466
Canarias;Suecia;Marzo;285.429
Canarias;Suecia;Abril;152.074
Canarias;Suecia;Mayo;33.176
Canarias;Suecia;Junio;35.858
Canarias;Suecia;Julio;45.043
Canarias;Suecia;Agosto;35.011
Canarias;Suecia;Septiembre;43.173
Canarias;Suecia;Octubre;156.281
Canarias;Suecia;Noviembre;312.870
Canarias;Suecia;Diciembre;325.963
Canarias;Resto de la UE;Total;292.832
Canarias;Resto de la UE;Enero;27.755
Canarias;Resto de la UE;Febrero;22.792
Canarias;Resto de la UE;Marzo;27.764
Canarias;Resto de la UE;Abril;26.595
Canarias;Resto de la UE;Mayo;20.584
Canarias;Resto de la UE;Junio;24.620
Canarias;Resto de la UE;Julio;33.010
Canarias;Resto de la UE;Agosto;23.781
Canarias;Resto de la UE;Septiembre;23.188
Canarias;Resto de la UE;Octubre;23.055
Canarias;Resto de la UE;Noviembre;18.360
Canarias;Resto de la UE;Diciembre;21.327
Canarias;Noruega;Total;1.867.953
Canarias;Noruega;Enero;287.621
Canarias;Noruega;Febrero;286.607
Canarias;Noruega;Marzo;284.749
Canarias;Noruega;Abril;116.619
Canarias;Noruega;Mayo;32.922
Canarias;Noruega;Junio;34.335
Canarias;Noruega;Julio;75.065
Canarias;Noruega;Agosto;46.433
Canarias;Noruega;Septiembre;36.362
Canarias;Noruega;Octubre;142.521
Canarias;Noruega;Noviembre;263.081
Canarias;Noruega;Diciembre;261.639
Canarias;Rusia;Total;226.655
Canarias;Rusia;Enero;27.404
Canarias;Rusia;Febrero;11.019
Canarias;Rusia;Marzo;14.239
Canarias;Rusia;Abril;15.517
Canarias;Rusia;Mayo;19.342
Canarias;Rusia;Junio;21.923
Canarias;Rusia;Julio;24.724
Canarias;Rusia;Agosto;19.646
Canarias;Rusia;Septiembre;21.938
Canarias;Rusia;Octubre;22.245
Canarias;Rusia;Noviembre;16.224
Canarias;Rusia;Diciembre;12.433
Canarias;Suiza;Total;234.007
Canarias;Suiza;Enero;28.733
Canarias;Suiza;Febrero;20.414
Canarias;Suiza;Marzo;13.875
Canarias;Suiza;Abril;22.387
Canarias;Suiza;Mayo;14.599
Canarias;Suiza;Junio;12.898
Canarias;Suiza;Julio;17.662
Canarias;Suiza;Agosto;11.755
Canarias;Suiza;Septiembre;17.679
Canarias;Suiza;Octubre;35.202
Canarias;Suiza;Noviembre;23.388
Canarias;Suiza;Diciembre;15.414
Canarias;Resto de Europa;Total;272.586
Canarias;Resto de Europa;Enero;25.729
Canarias;Resto de Europa;Febrero;20.711
Canarias;Resto de Europa;Marzo;26.379
Canarias;Resto de Europa;Abril;27.084
Canarias;Resto de Europa;Mayo;17.529
Canarias;Resto de Europa;Junio;20.449
Canarias;Resto de Europa;Julio;23.991
Canarias;Resto de Europa;Agosto;20.493
Canarias;Resto de Europa;Septiembre;22.143
Canarias;Resto de Europa;Octubre;28.731
Canarias;Resto de Europa;Noviembre;14.372
Canarias;Resto de Europa;Diciembre;24.974
Canarias;Estados Unidos;Total;39.175
Canarias;Estados Unidos;Enero;2.537
Canarias;Estados Unidos;Febrero;1.257
Canarias;Estados Unidos;Marzo;2.051
Canarias;Estados Unidos;Abril;2.722
Canarias;Estados Unidos;Mayo;2.900
Canarias;Estados Unidos;Junio;2.728
Canarias;Estados Unidos;Julio;3.996
Canarias;Estados Unidos;Agosto;2.514
Canarias;Estados Unidos;Septiembre;2.129
Canarias;Estados Unidos;Octubre;2.087
Canarias;Estados Unidos;Noviembre;1.466
Canarias;Estados Unidos;Diciembre;12.788
Canarias;Resto de América;Total;57.140
Canarias;Resto de América;Enero;4.993
Canarias;Resto de América;Febrero;7.735
Canarias;Resto de América;Marzo;3.954
Canarias;Resto de América;Abril;4.081
Canarias;Resto de América;Mayo;4.261
Canarias;Resto de América;Junio;5.479
Canarias;Resto de América;Julio;5.231
Canarias;Resto de América;Agosto;5.288
Canarias;Resto de América;Septiembre;4.455
Canarias;Resto de América;Octubre;4.324
Canarias;Resto de América;Noviembre;3.290
Canarias;Resto de América;Diciembre;4.048
Canarias;Países Africanos;Total;36.213
Canarias;Países Africanos;Enero;1.038
Canarias;Países Africanos;Febrero;790
Canarias;Países Africanos;Marzo;14.316
Canarias;Países Africanos;Abril;1.625
Canarias;Países Africanos;Mayo;10.046
Canarias;Países Africanos;Junio;1.063
Canarias;Países Africanos;Julio;1.790
Canarias;Países Africanos;Agosto;2.247
Canarias;Países Africanos;Septiembre;1.316
Canarias;Países Africanos;Octubre;830
Canarias;Países Africanos;Noviembre;446
Canarias;Países Africanos;Diciembre;704
Canarias;Resto del mundo;Total;162.358
Canarias;Resto del mundo;Enero;11.048
Canarias;Resto del mundo;Febrero;13.491
Canarias;Resto del mundo;Marzo;14.261
Canarias;Resto del mundo;Abril;14.735
Canarias;Resto del mundo;Mayo;16.600
Canarias;Resto del mundo;Junio;12.830
Canarias;Resto del mundo;Julio;16.826
Canarias;Resto del mundo;Agosto;14.503
Canarias;Resto del mundo;Septiembre;10.101
Canarias;Resto del mundo;Octubre;14.685
Canarias;Resto del mundo;Noviembre;10.136
Canarias;Resto del mundo;Diciembre;13.142
Cantabria;Total;Total;553.316
Cantabria;Total;Enero;15.283
Cantabria;Total;Febrero;12.955
Cantabria;Total;Marzo;17.099
Cantabria;Total;Abril;41.524
Cantabria;Total;Mayo;25.750
Cantabria;Total;Junio;51.791
Cantabria;Total;Julio;108.075
Cantabria;Total;Agosto;135.839
Cantabria;Total;Septiembre;58.746
Cantabria;Total;Octubre;29.232
Cantabria;Total;Noviembre;23.674
Cantabria;Total;Diciembre;33.348
Cantabria;Residentes en España;Total;488.261
Cantabria;Residentes en España;Enero;13.022
Cantabria;Residentes en España;Febrero;11.559
Cantabria;Residentes en España;Marzo;15.386
Cantabria;Residentes en España;Abril;38.157
Cantabria;Residentes en España;Mayo;20.903
Cantabria;Residentes en España;Junio;44.313
Cantabria;Residentes en España;Julio;94.590
Cantabria;Residentes en España;Agosto;122.875
Cantabria;Residentes en España;Septiembre;51.297
Cantabria;Residentes en España;Octubre;25.337
Cantabria;Residentes en España;Noviembre;20.232
Cantabria;Residentes en España;Diciembre;30.590
Cantabria;No residentes en España;Total;65.055
Cantabria;No residentes en España;Enero;2.261
Cantabria;No residentes en España;Febrero;1.396
Cantabria;No residentes en España;Marzo;1.714
Cantabria;No residentes en España;Abril;3.367
Cantabria;No residentes en España;Mayo;4.847
Cantabria;No residentes en España;Junio;7.478
Cantabria;No residentes en España;Julio;13.485
Cantabria;No residentes en España;Agosto;12.963
Cantabria;No residentes en España;Septiembre;7.449
Cantabria;No residentes en España;Octubre;3.895
Cantabria;No residentes en España;Noviembre;3.442
Cantabria;No residentes en España;Diciembre;2.758
Cantabria;Unión Europea (sin España);Total;43.301
Cantabria;Unión Europea (sin España);Enero;1.175
Cantabria;Unión Europea (sin España);Febrero;476
Cantabria;Unión Europea (sin España);Marzo;870
Cantabria;Unión Europea (sin España);Abril;1.600
Cantabria;Unión Europea (sin España);Mayo;2.853
Cantabria;Unión Europea (sin España);Junio;5.267
Cantabria;Unión Europea (sin España);Julio;10.149
Cantabria;Unión Europea (sin España);Agosto;10.141
Cantabria;Unión Europea (sin España);Septiembre;5.170
Cantabria;Unión Europea (sin España);Octubre;2.403
Cantabria;Unión Europea (sin España);Noviembre;2.007
Cantabria;Unión Europea (sin España);Diciembre;1.191
Cantabria;Alemania;Total;11.247
Cantabria;Alemania;Enero;..
Cantabria;Alemania;Febrero;..
Cantabria;Alemania;Marzo;89
Cantabria;Alemania;Abril;224
Cantabria;Alemania;Mayo;635
Cantabria;Alemania;Junio;1.904
Cantabria;Alemania;Julio;3.040
Cantabria;Alemania;Agosto;1.541
Cantabria;Alemania;Septiembre;1.997
Cantabria;Alemania;Octubre;1.399
Cantabria;Alemania;Noviembre;89
Cantabria;Alemania;Diciembre;49
Cantabria;Austria;Total;628
Cantabria;Austria;Enero;..
Cantabria;Austria;Febrero;..
Cantabria;Austria;Marzo;..
Cantabria;Austria;Abril;..
Cantabria;Austria;Mayo;..
Cantabria;Austria;Junio;419
Cantabria;Austria;Julio;..
Cantabria;Austria;Agosto;100
Cantabria;Austria;Septiembre;79
Cantabria;Austria;Octubre;..
Cantabria;Austria;Noviembre;..
Cantabria;Austria;Diciembre;..
Cantabria;Bélgica;Total;1.809
Cantabria;Bélgica;Enero;..
Cantabria;Bélgica;Febrero;..
Cantabria;Bélgica;Marzo;..
Cantabria;Bélgica;Abril;48
Cantabria;Bélgica;Mayo;471
Cantabria;Bélgica;Junio;104
Cantabria;Bélgica;Julio;679
Cantabria;Bélgica;Agosto;397
Cantabria;Bélgica;Septiembre;50
Cantabria;Bélgica;Octubre;28
Cantabria;Bélgica;Noviembre;24
Cantabria;Bélgica;Diciembre;..
Cantabria;Dinamarca;Total;511
Cantabria;Dinamarca;Enero;..
Cantabria;Dinamarca;Febrero;..
Cantabria;Dinamarca;Marzo;..
Cantabria;Dinamarca;Abril;..
Cantabria;Dinamarca;Mayo;..
Cantabria;Dinamarca;Junio;21
Cantabria;Dinamarca;Julio;382
Cantabria;Dinamarca;Agosto;..
Cantabria;Dinamarca;Septiembre;..
Cantabria;Dinamarca;Octubre;..
Cantabria;Dinamarca;Noviembre;..
Cantabria;Dinamarca;Diciembre;..
Cantabria;Finlandia;Total;56
Cantabria;Finlandia;Enero;..
Cantabria;Finlandia;Febrero;..
Cantabria;Finlandia;Marzo;..
Cantabria;Finlandia;Abril;..
Cantabria;Finlandia;Mayo;..
Cantabria;Finlandia;Junio;..
Cantabria;Finlandia;Julio;..
Cantabria;Finlandia;Agosto;35
Cantabria;Finlandia;Septiembre;..
