Comunidades y ciudades autónomas;País de residencia;Meses;Total
Total;Irlanda;Julio;451.154
Total;Irlanda;Agosto;368.849
Total;Irlanda;Septiembre;315.277
Total;Irlanda;Octubre;244.821
Total;Irlanda;Noviembre;112.101
Total;Irlanda;Diciembre;119.616
Total;Italia;Total;1.920.968
Total;Italia;Enero;102.535
Total;Italia;Febrero;83.757
Total;Italia;Marzo;91.458
Total;Italia;Abril;97.722
Total;Italia;Mayo;142.935
Total;Italia;Junio;206.739
Total;Italia;Julio;277.849
Total;Italia;Agosto;454.331
Total;Italia;Septiembre;194.696
Total;Italia;Octubre;107.853
Total;Italia;Noviembre;79.397
Total;Italia;Diciembre;81.696
Total;Luxemburgo;Total;64.595
Total;Luxemburgo;Enero;3.179
Total;Luxemburgo;Febrero;3.992
Total;Luxemburgo;Marzo;3.533
Total;Luxemburgo;Abril;4.233
Total;Luxemburgo;Mayo;3.731
Total;Luxemburgo;Junio;4.868
Total;Luxemburgo;Julio;10.741
Total;Luxemburgo;Agosto;9.714
Total;Luxemburgo;Septiembre;8.167
Total;Luxemburgo;Octubre;3.102
Total;Luxemburgo;Noviembre;4.313
Total;Luxemburgo;Diciembre;5.021
Total;Países Bajos;Total;4.003.142
Total;Países Bajos;Enero;233.263
Total;Países Bajos;Febrero;238.864
Total;Países Bajos;Marzo;250.476
Total;Países Bajos;Abril;280.754
Total;Países Bajos;Mayo;366.341
Total;Países Bajos;Junio;377.018
Total;Países Bajos;Julio;553.622
Total;Países Bajos;Agosto;595.494
Total;Países Bajos;Septiembre;385.451
Total;Países Bajos;Octubre;360.332
Total;Países Bajos;Noviembre;181.705
Total;Países Bajos;Diciembre;179.821
Total;Polonia;Total;737.976
Total;Polonia;Enero;37.366
Total;Polonia;Febrero;46.565
Total;Polonia;Marzo;52.107
Total;Polonia;Abril;50.457
Total;Polonia;Mayo;64.344
Total;Polonia;Junio;83.312
Total;Polonia;Julio;96.314
Total;Polonia;Agosto;90.008
Total;Polonia;Septiembre;88.120
Total;Polonia;Octubre;58.231
Total;Polonia;Noviembre;37.260
Total;Polonia;Diciembre;33.893
Total;Portugal;Total;356.109
Total;Portugal;Enero;9.294
Total;Portugal;Febrero;14.567
Total;Portugal;Marzo;12.758
Total;Portugal;Abril;46.114
Total;Portugal;Mayo;19.239
Total;Portugal;Junio;31.552
Total;Portugal;Julio;49.665
Total;Portugal;Agosto;81.849
Total;Portugal;Septiembre;46.756
Total;Portugal;Octubre;17.803
Total;Portugal;Noviembre;12.113
Total;Portugal;Diciembre;14.400
Total;Reino Unido;Total;21.270.029
Total;Reino Unido;Enero;1.092.990
Total;Reino Unido;Febrero;1.049.497
Total;Reino Unido;Marzo;1.191.334
Total;Reino Unido;Abril;1.521.616
Total;Reino Unido;Mayo;2.065.112
Total;Reino Unido;Junio;2.449.791
Total;Reino Unido;Julio;2.588.911
Total;Reino Unido;Agosto;2.847.069
Total;Reino Unido;Septiembre;2.479.515
Total;Reino Unido;Octubre;1.896.078
Total;Reino Unido;Noviembre;1.098.569
Total;Reino Unido;Diciembre;989.547
Total;Republica Checa;Total;201.695
Total;Republica Checa;Enero;9.295
Total;Republica Checa;Febrero;7.486
Total;Republica Checa;Marzo;8.595
Total;Republica Checa;Abril;10.410
Total;Republica Checa;Mayo;15.412
Total;Republica Checa;Junio;24.898
Total;Republica Checa;Julio;31.972
Total;Republica Checa;Agosto;22.887
Total;Republica Checa;Septiembre;31.308
Total;Republica Checa;Octubre;17.779
Total;Republica Checa;Noviembre;11.191
Total;Republica Checa;Diciembre;10.461
Total;Suecia;Total;3.033.551
Total;Suecia;Enero;324.935
Total;Suecia;Febrero;315.843
Total;Suecia;Marzo;362.817
Total;Suecia;Abril;204.135
Total;Suecia;Mayo;122.423
Total;Suecia;Junio;169.583
Total;Suecia;Julio;197.617
Total;Suecia;Agosto;157.084
Total;Suecia;Septiembre;176.029
Total;Suecia;Octubre;259.859
Total;Suecia;Noviembre;384.094
Total;Suecia;Diciembre;359.134
Total;Resto de la UE;Total;661.375
Total;Resto de la UE;Enero;40.780
Total;Resto de la UE;Febrero;40.028
Total;Resto de la UE;Marzo;53.160
Total;Resto de la UE;Abril;53.083
Total;Resto de la UE;Mayo;52.786
Total;Resto de la UE;Junio;68.355
Total;Resto de la UE;Julio;84.110
Total;Resto de la UE;Agosto;64.374
Total;Resto de la UE;Septiembre;73.641
Total;Resto de la UE;Octubre;60.263
Total;Resto de la UE;Noviembre;36.416
Total;Resto de la UE;Diciembre;34.380
Total;Noruega;Total;2.588.658
Total;Noruega;Enero;311.674
Total;Noruega;Febrero;328.086
Total;Noruega;Marzo;335.375
Total;Noruega;Abril;155.186
Total;Noruega;Mayo;89.877
Total;Noruega;Junio;118.457
Total;Noruega;Julio;222.275
Total;Noruega;Agosto;116.132
Total;Noruega;Septiembre;108.923
Total;Noruega;Octubre;218.918
Total;Noruega;Noviembre;300.083
Total;Noruega;Diciembre;283.670
Total;Rusia;Total;892.133
Total;Rusia;Enero;49.268
Total;Rusia;Febrero;25.106
Total;Rusia;Marzo;32.509
Total;Rusia;Abril;38.593
Total;Rusia;Mayo;64.157
Total;Rusia;Junio;157.880
Total;Rusia;Julio;151.052
Total;Rusia;Agosto;117.843
Total;Rusia;Septiembre;134.871
Total;Rusia;Octubre;63.655
Total;Rusia;Noviembre;31.462
Total;Rusia;Diciembre;25.738
Total;Suiza;Total;576.744
Total;Suiza;Enero;38.153
Total;Suiza;Febrero;37.724
Total;Suiza;Marzo;27.267
Total;Suiza;Abril;44.991
Total;Suiza;Mayo;40.272
Total;Suiza;Junio;48.256
Total;Suiza;Julio;84.689
Total;Suiza;Agosto;49.969
Total;Suiza;Septiembre;58.501
Total;Suiza;Octubre;86.038
Total;Suiza;Noviembre;35.384
Total;Suiza;Diciembre;25.501
Total;Resto de Europa;Total;555.493
Total;Resto de Europa;Enero;34.749
Total;Resto de Europa;Febrero;30.886
Total;Resto de Europa;Marzo;38.517
Total;Resto de Europa;Abril;46.692
Total;Resto de Europa;Mayo;45.481
Total;Resto de Europa;Junio;64.729
Total;Resto de Europa;Julio;63.739
Total;Resto de Europa;Agosto;59.101
Total;Resto de Europa;Septiembre;57.920
Total;Resto de Europa;Octubre;51.768
Total;Resto de Europa;Noviembre;26.744
Total;Resto de Europa;Diciembre;35.168
Total;Estados Unidos;Total;573.643
Total;Estados Unidos;Enero;26.874
Total;Estados Unidos;Febrero;26.357
Total;Estados Unidos;Marzo;41.269
Total;Estados Unidos;Abril;49.717
Total;Estados Unidos;Mayo;63.045
Total;Estados Unidos;Junio;72.299
Total;Estados Unidos;Julio;76.570
Total;Estados Unidos;Agosto;50.009
Total;Estados Unidos;Septiembre;51.870
Total;Estados Unidos;Octubre;46.927
Total;Estados Unidos;Noviembre;30.979
Total;Estados Unidos;Diciembre;37.729
Total;Resto de América;Total;857.259
Total;Resto de América;Enero;60.265
Total;Resto de América;Febrero;77.573
Total;Resto de América;Marzo;76.823
Total;Resto de América;Abril;72.391
Total;Resto de América;Mayo;72.596
Total;Resto de América;Junio;78.046
Total;Resto de América;Julio;77.027
Total;Resto de América;Agosto;75.650
Total;Resto de América;Septiembre;84.590
Total;Resto de América;Octubre;78.727
Total;Resto de América;Noviembre;53.819
Total;Resto de América;Diciembre;49.753
Total;Países Africanos;Total;387.948
Total;Países Africanos;Enero;19.954
Total;Países Africanos;Febrero;19.959
Total;Países Africanos;Marzo;27.939
Total;Países Africanos;Abril;16.791
Total;Países Africanos;Mayo;24.872
Total;Países Africanos;Junio;17.989
